Date,Population_Millions,Urban_Density,Total_Households
2021-01-01,29.984018756481163,11493.873856651113,7139052.0848764675
2021-01-02,30.006248269915176,11502.395170134152,7144344.82617028
2021-01-03,30.023496270929687,11509.00690385638,7148451.493078496
2021-01-04,29.99124815428623,11496.64512580972,7140773.37006815
2021-01-05,30.008403763841255,11503.221442805814,7144858.039009822
2021-01-06,30.001513776422634,11500.580280962009,7143217.565814912
2021-01-07,30.0140194545052,11505.374124226993,7146195.108215523
2021-01-08,30.011579132672107,11504.43866752431,7145614.079207645
2021-01-09,30.006599946478968,11502.529979483605,7144428.558685468
2021-01-10,30.01952078731117,11507.482968469281,7147504.9493598025
2021-01-11,30.03431288267972,11513.153271693893,7151026.876828505
2021-01-12,30.015987789015124,11506.128652455796,7146663.759289315
2021-01-13,30.02672191994034,11510.243402643797,7149219.504747699
2021-01-14,30.00821921276732,11503.150698227471,7144814.098277933
2021-01-15,30.013215268650512,11505.065852982696,7146003.635392979
2021-01-16,30.029131473520437,11511.1670648495,7149793.207981056
2021-01-17,30.040876437604997,11515.669301081916,7152589.62800119
2021-01-18,30.031219365645338,11511.967423497379,7150290.325153652
2021-01-19,30.026160694954736,11510.028266399315,7149085.879751128
2021-01-20,30.030912320686095,11511.84972292967,7150217.219210975
2021-01-21,30.02004354893827,11507.683360426336,7147629.4164138725
2021-01-22,30.040221087466616,11515.41808352887,7152433.592253956
2021-01-23,30.044627661035157,11517.107270063476,7153482.776436942
2021-01-24,30.032911911581024,11512.616232772725,7150693.312281196
2021-01-25,30.034360966222543,11513.17170371864,7151038.325291081
2021-01-26,30.043348831085574,11516.617051916137,7153178.293115612
2021-01-27,30.037951600820485,11514.548113647852,7151893.238290591
2021-01-28,30.043286309734185,11516.593085398103,7153163.407079567
2021-01-29,30.066573779784157,11525.519948917261,7158708.042805752
2021-01-30,30.044735319214368,11517.148539032174,7153508.409336753
2021-01-31,30.045251277353028,11517.346322985328,7153631.256512626
2021-02-01,30.043988451795162,11516.862239854812,7153330.583760752
2021-02-02,30.059535068876443,11522.821776402636,7157032.159256295
2021-02-03,30.051910275075628,11519.898938778992,7155216.7321608635
2021-02-04,30.0488582424122,11518.728992924676,7154490.057717191
2021-02-05,30.070194557451767,11526.907913689845,7159570.132726611
2021-02-06,30.072807179858614,11527.909418945801,7160192.185680622
2021-02-07,30.05423663519613,11520.790710158517,7155770.62742765
2021-02-08,30.04320528074034,11516.562024283798,7153144.114461986
2021-02-09,30.07357571491793,11528.204024051873,7160375.170218554
2021-02-10,30.058284265897548,11522.342301927394,7156734.349023226
2021-02-11,30.074666894657128,11528.622309618566,7160634.974918364
2021-02-12,30.04868976337829,11518.66440929501,7154449.943661498
2021-02-13,30.07894702621266,11530.263026714854,7161654.053860157
2021-02-14,30.059539673200256,11522.82354139343,7157033.255523871
2021-02-15,30.08058946174106,11530.892627000738,7162045.109938348
2021-02-16,30.07505506768481,11528.771109279178,7160727.397067811
2021-02-17,30.06700354767206,11525.684693274288,7158810.368493347
2021-02-18,30.07410327200464,11528.406254268446,7160500.779048723
2021-02-19,30.086667601384466,11533.222580530712,7163492.28604392
2021-02-20,30.082494231444937,11531.622788720559,7162498.626534509
2021-02-21,30.088910375240086,11534.082310508698,7164026.2798190685
2021-02-22,30.104461698229585,11540.043650988007,7167728.975768949
2021-02-23,30.070686011648665,11527.096304465322,7159687.145630634
2021-02-24,30.104131777333883,11539.91718131132,7167650.423174733
