Date,Fabricated_Power_Demand_MW
2025-01-01,5099.61
2025-02-01,4688.06
2025-03-01,4652.60
2025-04-01,5211.86
2025-05-01,5797.95
2025-06-01,5890.93
2025-07-01,5081.65
2025-08-01,4763.45
2025-09-01,4287.48
2025-10-01,4915.32
2025-11-01,5000.23
2025-12-01,5679.84
2026-01-01,5576.54
2026-02-01,4869.44
2026-03-01,4721.36
2026-04-01,5348.76
2026-05-01,5886.85
2026-06-01,6058.79
2026-07-01,5047.72
2026-08-01,4841.15
2026-09-01,4431.90
2026-10-01,5042.34
2026-11-01,5445.09
2026-12-01,5347.21
2027-01-01,5667.81
2027-02-01,5020.77
2027-03-01,4916.95
2027-04-01,5211.13
2027-05-01,6115.50
2027-06-01,6191.54
2027-07-01,5201.00
2027-08-01,4677.95
2027-09-01,4414.09
2027-10-01,4878.45
2027-11-01,5090.09
2027-12-01,5780.03
2028-01-01,4997.14
2028-02-01,4984.57
2028-03-01,4894.31
2028-04-01,5280.21
2028-05-01,6200.95
2028-06-01,5964.39
2028-07-01,5213.43
2028-08-01,4375.50
2028-09-01,4466.56
2028-10-01,4912.10
2028-11-01,5008.18
2028-12-01,5165.46
2029-01-01,5282.59
2029-02-01,5267.88
2029-03-01,4900.11
2029-04-01,5514.94
2029-05-01,5908.95
2029-06-01,6475.93
2029-07-01,5644.79
2029-08-01,4951.58
2029-09-01,4554.99
2029-10-01,6145.29
2029-11-01,5364.62
2029-12-01,5870.00
2030-01-01,4819.19
2030-02-01,6296.85
2030-03-01,4990.88
2030-04-01,5492.38
2030-05-01,6369.98
2030-06-01,6570.44
2030-07-01,6043.22
2030-08-01,5542.36
2030-09-01,5130.01
2030-10-01,5357.58
2030-11-01,5692.90
2030-12-01,6334.71
2031-01-01,6295.01
2031-02-01,6158.68
2031-03-01,5758.80
2031-04-01,6023.35
2031-05-01,6900.68
2031-06-01,7287.16
2031-07-01,6070.32
2031-08-01,5519.04
2031-09-01,5421.24
2031-10-01,5780.76
2031-11-01,6342.30
2031-12-01,7049.47
2032-01-01,6393.34
2032-02-01,5664.12
2032-03-01,5749.15
2032-04-01,6569.20
2032-05-01,6514.60
2032-06-01,7318.13
2032-07-01,6028.39
2032-08-01,5716.31
2032-09-01,5209.92
2032-10-01,5518.66
2032-11-01,5662.24
2032-12-01,6766.92
2033-01-01,6763.85
2033-02-01,5764.36
2033-03-01,5700.54
2033-04-01,6327.88
2033-05-01,6987.08
2033-06-01,7277.86
2033-07-01,5820.00
2033-08-01,5604.86
2033-09-01,5197.52
2033-10-01,6238.51
2033-11-01,5857.78
2033-12-01,6874.70
2034-01-01,6681.95
2034-02-01,6066.71
2034-03-01,6263.05
2034-04-01,6532.56
2034-05-01,7067.12
2034-06-01,7375.30
2034-07-01,6474.78
2034-08-01,6203.64
2034-09-01,5350.76
2034-10-01,6046.00
2034-11-01,6341.37
2034-12-01,7361.84
2035-01-01,7081.38
2035-02-01,6255.62
2035-03-01,6302.33
2035-04-01,6945.24
2035-05-01,8070.07
2035-06-01,8040.74
2035-07-01,6596.93
2035-08-01,6355.05
2035-09-01,6244.50
2035-10-01,6444.85
2035-11-01,6868.79
2035-12-01,8163.55
