date,ghi_kwh_m2
2021-01-01,2.261
2021-01-02,1.288
2021-01-03,0.982
2021-01-04,2.375
2021-01-05,0.973
2021-01-06,0.756
2021-01-07,1.857
2021-01-08,1.482
2021-01-09,2.096
2021-01-10,1.891
2021-01-11,3.342
2021-01-12,3.54
2021-01-13,3.29
2021-01-14,2.943
2021-01-15,3.124
2021-01-16,2.787
2021-01-17,2.037
2021-01-18,1.688
2021-01-19,2.998
2021-01-20,4.022
2021-01-21,4.826
2021-01-22,3.094
2021-01-23,2.267
2021-01-24,1.244
2021-01-25,1.291
2021-01-26,3.837
2021-01-27,4.741
2021-01-28,2.833
2021-01-29,4.426
2021-01-30,5.124
2021-01-31,4.576
2021-02-01,4.649
2021-02-02,1.948
2021-02-03,4.742
2021-02-04,2.871
2021-02-05,4.093
2021-02-06,5.31
2021-02-07,4.642
2021-02-08,4.552
2021-02-09,5.136
2021-02-10,5.164
2021-02-11,3.046
2021-02-12,2.437
2021-02-13,3.559
2021-02-14,4.478
2021-02-15,4.722
2021-02-16,4.2
2021-02-17,4.472
2021-02-18,4.658
2021-02-19,5.146
2021-02-20,4.728
2021-02-21,3.14
2021-02-22,5.162
2021-02-23,5.889
2021-02-24,6.324
2021-02-25,2.06
2021-02-26,5.923
2021-02-27,5.31
2021-02-28,3.761
2021-03-01,6.372
2021-03-02,7.456
2021-03-03,5.758
2021-03-04,5.847
2021-03-05,6.441
2021-03-06,4.137
2021-03-07,5.556
2021-03-08,5.199
2021-03-09,2.752
2021-03-10,5.401
2021-03-11,5.635
2021-03-12,2.822
2021-03-13,2.544
2021-03-14,6.062
2021-03-15,4.994
2021-03-16,6.087
2021-03-17,6.305
2021-03-18,5.065
2021-03-19,5.829
2021-03-20,6.621
2021-03-21,6.185
2021-03-22,2.918
2021-03-23,3.967
2021-03-24,6.091
2021-03-25,5.876
2021-03-26,7.629
2021-03-27,4.087
2021-03-28,4.69
2021-03-29,7.45
2021-03-30,7.555
2021-03-31,9.009
2021-04-01,8.028
2021-04-02,8.994
2021-04-03,8.899
2021-04-04,2.771
2021-04-05,6.317
2021-04-06,6.058
2021-04-07,6.297
2021-04-08,8.039
2021-04-09,9.335
2021-04-10,4.094
2021-04-11,9.382
2021-04-12,7.677
2021-04-13,8.245
2021-04-14,7.0
2021-04-15,6.784
2021-04-16,5.818
2021-04-17,6.758
2021-04-18,8.456
2021-04-19,8.194
2021-04-20,4.254
2021-04-21,6.601
2021-04-22,4.874
2021-04-23,6.124
2021-04-24,7.993
2021-04-25,9.43
2021-04-26,9.177
2021-04-27,8.468
2021-04-28,6.878
2021-04-29,6.883
2021-04-30,6.332
2021-05-01,3.203
2021-05-02,6.467
2021-05-03,6.563
2021-05-04,6.306
2021-05-05,6.752
2021-05-06,4.039
2021-05-07,2.824
2021-05-08,7.811
2021-05-09,6.474
2021-05-10,5.524
2021-05-11,6.916
2021-05-12,6.82
2021-05-13,6.054
2021-05-14,3.138
2021-05-15,3.637
2021-05-16,8.185
2021-05-17,3.601
2021-05-18,1.833
2021-05-19,1.434
2021-05-20,5.035
2021-05-21,5.674
2021-05-22,3.96
2021-05-23,6.856
2021-05-24,8.583
2021-05-25,4.545
2021-05-26,7.85
2021-05-27,9.083
2021-05-28,7.295
2021-05-29,7.152
2021-05-30,3.94
2021-05-31,6.788
2021-06-01,5.879
2021-06-02,4.147
2021-06-03,8.287
2021-06-04,6.258
2021-06-05,6.835
2021-06-06,7.733
2021-06-07,7.556
2021-06-08,8.099
2021-06-09,7.114
2021-06-10,6.462
2021-06-11,6.778
2021-06-12,6.391
2021-06-13,5.839
2021-06-14,6.543
2021-06-15,5.851
2021-06-16,5.251
2021-06-17,6.036
2021-06-18,6.357
2021-06-19,7.073
2021-06-20,5.79
2021-06-21,6.919
2021-06-22,4.576
2021-06-23,8.001
2021-06-24,6.114
2021-06-25,3.802
2021-06-26,6.625
2021-06-27,7.405
2021-06-28,7.136
2021-06-29,8.596
2021-06-30,7.938
2021-07-01,4.45
2021-07-02,6.066
2021-07-03,2.916
2021-07-04,8.39
2021-07-05,7.249
2021-07-06,8.027
2021-07-07,7.389
2021-07-08,6.361
2021-07-09,6.668
2021-07-10,6.631
2021-07-11,5.105
2021-07-12,4.601
2021-07-13,2.712
2021-07-14,1.225
2021-07-15,5.954
2021-07-16,7.201
2021-07-17,2.833
2021-07-18,3.94
2021-07-19,0.899
2021-07-20,3.83
2021-07-21,4.989
2021-07-22,4.057
2021-07-23,5.615
2021-07-24,6.576
2021-07-25,6.754
2021-07-26,2.965
2021-07-27,1.586
2021-07-28,0.955
2021-07-29,4.133
2021-07-30,2.281
2021-07-31,5.359
2021-08-01,1.548
2021-08-02,4.013
2021-08-03,4.88
2021-08-04,5.404
2021-08-05,6.183
2021-08-06,4.65
2021-08-07,3.727
2021-08-08,2.699
2021-08-09,2.504
2021-08-10,5.824
2021-08-11,6.186
2021-08-12,4.672
2021-08-13,5.883
2021-08-14,6.33
2021-08-15,6.577
2021-08-16,7.541
2021-08-17,6.432
2021-08-18,6.548
2021-08-19,5.023
2021-08-20,2.267
2021-08-21,3.354
2021-08-22,4.732
2021-08-23,4.737
2021-08-24,4.428
2021-08-25,6.794
2021-08-26,4.069
2021-08-27,6.57
2021-08-28,4.356
2021-08-29,4.072
2021-08-30,5.698
2021-08-31,0.707
2021-09-01,1.155
2021-09-02,4.908
2021-09-03,5.336
2021-09-04,2.198
2021-09-05,5.66
2021-09-06,3.638
2021-09-07,4.004
2021-09-08,5.132
2021-09-09,2.966
2021-09-10,4.466
2021-09-11,1.206
2021-09-12,4.798
2021-09-13,3.089
2021-09-14,5.748
2021-09-15,5.164
2021-09-16,2.572
2021-09-17,2.228
2021-09-18,5.315
2021-09-19,6.181
2021-09-20,2.371
2021-09-21,4.548
2021-09-22,2.874
2021-09-23,5.022
2021-09-24,4.85
2021-09-25,5.429
2021-09-26,3.005
2021-09-27,5.025
2021-09-28,2.627
2021-09-29,5.478
2021-09-30,5.677
2021-10-01,5.234
2021-10-02,5.695
2021-10-03,6.01
2021-10-04,2.479
2021-10-05,5.023
2021-10-06,4.953
2021-10-07,3.561
2021-10-08,6.061
2021-10-09,6.422
2021-10-10,6.079
2021-10-11,5.851
2021-10-12,5.774
2021-10-13,5.306
2021-10-14,2.629
2021-10-15,6.231
2021-10-16,5.178
2021-10-17,2.172
2021-10-18,0.63
2021-10-19,5.492
2021-10-20,5.305
2021-10-21,5.877
2021-10-22,5.124
2021-10-23,5.748
2021-10-24,3.924
2021-10-25,4.055
2021-10-26,4.907
2021-10-27,4.967
2021-10-28,4.838
2021-10-29,4.448
2021-10-30,4.227
2021-10-31,4.68
2021-11-01,2.248
2021-11-02,4.031
2021-11-03,2.617
2021-11-04,2.21
2021-11-05,3.421
2021-11-06,3.063
2021-11-07,4.358
2021-11-08,3.395
2021-11-09,4.081
2021-11-10,2.757
2021-11-11,1.728
2021-11-12,3.563
2021-11-13,3.704
2021-11-14,3.246
2021-11-15,1.323
2021-11-16,3.663
2021-11-17,3.297
2021-11-18,3.531
2021-11-19,3.121
2021-11-20,3.267
2021-11-21,4.312
2021-11-22,4.96
2021-11-23,1.826
2021-11-24,4.721
2021-11-25,3.603
2021-11-26,4.422
2021-11-27,2.058
2021-11-28,4.162
2021-11-29,4.026
2021-11-30,3.465
2021-12-01,1.013
2021-12-02,1.459
2021-12-03,1.275
2021-12-04,3.515
2021-12-05,2.697
2021-12-06,3.176
2021-12-07,1.39
2021-12-08,4.121
2021-12-09,2.03
2021-12-10,3.905
2021-12-11,3.498
2021-12-12,1.958
2021-12-13,1.653
2021-12-14,1.336
2021-12-15,2.734
2021-12-16,2.443
2021-12-17,3.763
2021-12-18,4.158
2021-12-19,3.113
2021-12-20,4.476
2021-12-21,3.472
2021-12-22,2.888
2021-12-23,3.465
2021-12-24,3.097
2021-12-25,3.192
2021-12-26,0.663
2021-12-27,1.312
2021-12-28,1.279
2021-12-29,3.025
2021-12-30,2.736
2021-12-31,3.008
2022-01-01,3.365
2022-01-02,2.809
2022-01-03,3.638
2022-01-04,2.314
2022-01-05,0.939
2022-01-06,2.308
2022-01-07,2.107
2022-01-08,0.546
2022-01-09,1.355
2022-01-10,3.567
2022-01-11,3.424
2022-01-12,2.832
2022-01-13,2.53
2022-01-14,1.884
2022-01-15,1.122
2022-01-16,2.28
2022-01-17,2.203
2022-01-18,2.71
2022-01-19,2.266
2022-01-20,1.159
2022-01-21,0.943
2022-01-22,1.013
2022-01-23,1.308
2022-01-24,2.202
2022-01-25,1.437
2022-01-26,2.779
2022-01-27,5.248
2022-01-28,5.395
2022-01-29,5.337
2022-01-30,4.824
2022-01-31,3.542
2022-02-01,1.243
2022-02-02,4.273
