Date,Predicted_Power_Demand_MW
2025-01-01,5391.87
2025-02-01,4529.57
2025-03-01,4660.86
2025-04-01,4787.20
2025-05-01,5796.31
2025-06-01,6190.36
2025-07-01,4939.92
2025-08-01,4608.59
2025-09-01,4449.98
2025-10-01,4718.36
2025-11-01,5221.76
2025-12-01,5624.52
2026-01-01,5472.29
2026-02-01,5615.96
2026-03-01,4834.66
2026-04-01,5267.01
2026-05-01,5936.96
2026-06-01,6153.17
2026-07-01,4782.75
2026-08-01,4674.69
2026-09-01,4411.45
2026-10-01,4810.72
2026-11-01,5032.12
2026-12-01,5491.19
2027-01-01,5629.94
2027-02-01,5079.69
2027-03-01,4648.22
2027-04-01,4976.40
2027-05-01,5831.05
2027-06-01,6071.70
2027-07-01,4927.88
2027-08-01,4408.29
2027-09-01,4355.45
2027-10-01,4795.02
2027-11-01,5153.45
2027-12-01,5377.76
2028-01-01,5180.72
2028-02-01,4819.27
2028-03-01,4705.94
2028-04-01,4992.54
2028-05-01,5984.13
2028-06-01,5984.73
2028-07-01,5130.71
2028-08-01,4462.36
2028-09-01,4635.61
2028-10-01,4600.80
2028-11-01,4961.80
2028-12-01,5353.71
2029-01-01,5333.38
2029-02-01,4787.45
2029-03-01,4505.53
2029-04-01,5189.10
2029-05-01,6186.74
2029-06-01,6202.25
2029-07-01,5240.93
2029-08-01,4779.59
2029-09-01,4438.05
2029-10-01,5136.88
2029-11-01,5193.75
2029-12-01,5499.26
2030-01-01,5787.31
2030-02-01,5202.00
2030-03-01,4975.56
2030-04-01,5455.50
2030-05-01,6297.58
2030-06-01,6748.02
2030-07-01,5531.35
2030-08-01,5282.74
2030-09-01,4769.01
2030-10-01,5228.90
2030-11-01,5475.43
2030-12-01,6017.72
2031-01-01,6218.91
2031-02-01,5431.85
2031-03-01,4975.89
2031-04-01,5565.35
2031-05-01,6634.65
2031-06-01,7135.96
2031-07-01,5668.95
2031-08-01,5465.42
2031-09-01,4928.87
2031-10-01,5442.46
2031-11-01,4603.20
2031-12-01,6203.77
2032-01-01,6062.45
2032-02-01,6142.95
2032-03-01,5038.14
2032-04-01,6002.59
2032-05-01,6295.02
2032-06-01,6484.22
2032-07-01,5567.77
2032-08-01,5195.36
2032-09-01,4665.38
2032-10-01,5110.79
2032-11-01,5578.15
2032-12-01,6127.87
2033-01-01,5863.92
2033-02-01,5224.56
2033-03-01,4712.49
2033-04-01,5329.98
2033-05-01,6253.39
2033-06-01,6626.91
2033-07-01,5327.86
2033-08-01,4730.29
2033-09-01,4660.54
2033-10-01,5312.17
2033-11-01,5786.99
2033-12-01,6018.56
2034-01-01,5596.88
2034-02-01,5383.93
2034-03-01,5021.13
2034-04-01,5912.70
2034-05-01,6635.43
2034-06-01,6546.37
2034-07-01,5690.83
2034-08-01,5356.04
2034-09-01,5023.48
2034-10-01,5335.87
2034-11-01,5986.63
2034-12-01,6436.18
2035-01-01,6476.65
2035-02-01,5555.11
2035-03-01,5639.28
2035-04-01,6240.28
2035-05-01,6496.73
2035-06-01,7398.39
2035-07-01,6080.44
2035-08-01,5566.72
2035-09-01,5339.26
2035-10-01,5843.26
2035-11-01,6250.84
2035-12-01,6952.42
