Year,Shortfall_BAU_GWh,Shortfall_Moderate_GWh,Annual_Investment_Moderate_USD_M,Shortfall_Aggressive_GWh,Annual_Investment_Aggressive_USD_M
2025.00,993.35,0.00,82.50,0.00,137.50
2026.00,1164.28,0.00,82.50,0.00,137.50
2027.00,1429.28,0.00,82.50,0.00,137.50
2028.00,441.09,0.00,82.50,0.00,137.50
2029.00,1381.31,0.00,82.50,0.00,137.50
2030.00,2329.36,0.00,82.50,0.00,137.50
2031.00,4246.53,1475.01,82.50,0.00,137.50
2032.00,2974.27,0.00,82.50,0.00,137.50
2033.00,2990.01,0.00,82.50,0.00,137.50
2034.00,4029.78,55.08,82.50,0.00,137.50
2035.00,6579.54,2811.09,82.50,130.37,137.50
