Year,Initial_Shortfall_GWh,Solar_Addition_GWh,Shortfall_After_Solar_GWh,Required_Wind_Addition_GWh,Final_Shortfall_GWh,Annual_Solar_Investment_USD_M,Cumulative_Solar_Capacity_MW,Cumulative_Wind_Capacity_MW
2025.00,993.35,525.60,467.75,467.75,0,165.00,1500,513.58
2026.00,1164.28,525.60,638.68,638.68,0,165.00,1800,805.22
2027.00,1429.28,525.60,903.68,903.68,0,165.00,2100,1217.86
2028.00,441.09,525.60,0.00,0.00,0,165.00,2400,1217.86
2029.00,1381.31,525.60,855.71,855.71,0,165.00,2700,1608.59
2030.00,2329.36,525.60,1803.76,1803.76,0,165.00,3000,2432.23
2031.00,4246.53,525.60,3720.93,3720.93,0,165.00,3300,4131.28
2032.00,2974.27,525.60,2448.67,2448.67,0,165.00,3600,5249.40
2033.00,2990.01,525.60,2464.41,2464.41,0,165.00,3900,6374.70
2034.00,4029.78,525.60,3504.18,3504.18,0,165.00,4200,7974.78
2035.00,6579.54,525.60,6053.94,6053.94,0,165.00,4500,10739.14
