year,temp_conservative_celsius,temp_moderate_celsius,temp_high_celsius
2025,25.6,25.51,25.66
2026,25.64,25.59,25.67
2027,25.61,25.64,25.9
2028,25.57,25.7,25.94
2029,25.69,25.75,25.95
2030,25.78,25.94,26.02
2031,25.76,25.88,26.17
2032,25.85,25.98,26.31
2033,25.95,26.05,26.46
2034,25.98,26.15,26.48
2035,25.98,26.11,26.65
2036,25.98,26.15,26.72
2037,26.11,26.23,26.76
2038,26.13,26.27,26.91
2039,26.05,26.47,27.1
2040,26.21,26.37,27.07
2041,26.24,26.52,27.17
2042,26.12,26.59,27.36
2043,26.25,26.69,27.41
2044,26.22,26.69,27.49
