year,month,projected_temp
2025,1,20.53
2025,2,19.86
2025,3,30.81
2025,4,28.25
2025,5,27.76
2025,6,31.29
2025,7,31.88
2025,8,32.99
2025,9,28.83
2025,10,26.3
2025,11,26.57
2025,12,20.05
2026,1,20.44
2026,2,22.14
2026,3,28.81
2026,4,27.41
2026,5,28.48
2026,6,31.87
2026,7,33.55
2026,8,33.18
2026,9,26.1
2026,10,26.85
2026,11,26.18
2026,12,21.2
2027,1,19.92
2027,2,21.1
2027,3,29.87
2027,4,28.41
2027,5,28.92
2027,6,33.04
2027,7,32.23
2027,8,33.02
2027,9,27.2
2027,10,26.01
2027,11,27.01
2027,12,20.39
2028,1,20.25
2028,2,20.57
2028,3,28.48
2028,4,27.56
2028,5,28.45
2028,6,32.52
2028,7,32.7
2028,8,33.33
2028,9,26.54
2028,10,27.48
2028,11,26.56
2028,12,20.43
2029,1,20.49
2029,2,20.21
2029,3,28.86
2029,4,28.11
2029,5,28.59
2029,6,33.11
2029,7,32.38
2029,8,32.96
2029,9,26.99
2029,10,26.83
2029,11,27.57
2029,12,20.32
2030,1,20.27
2030,2,19.96
2030,3,29.28
2030,4,28.28
2030,5,27.98
2030,6,33.04
2030,7,33.11
2030,8,31.96
2030,9,26.28
2030,10,26.83
2030,11,25.79
2030,12,20.05
2031,1,20.94
2031,2,20.61
2031,3,28.43
2031,4,29.5
2031,5,27.77
2031,6,32.97
2031,7,34.15
2031,8,33.7
2031,9,26.81
2031,10,27.53
2031,11,25.95
2031,12,20.83
2032,1,21.63
2032,2,21.54
2032,3,30.07
2032,4,28.95
2032,5,28.73
2032,6,32.92
2032,7,32.38
2032,8,33.66
2032,9,28.18
2032,10,26.06
2032,11,27.26
2032,12,20.52
2033,1,20.38
2033,2,22.92
2033,3,29.61
2033,4,29.67
2033,5,28.8
2033,6,32.32
2033,7,33.36
2033,8,33.07
2033,9,27.65
2033,10,26.84
2033,11,27.79
2033,12,21.48
2034,1,21.01
2034,2,20.97
2034,3,28.96
2034,4,29.17
2034,5,28.82
2034,6,33.61
2034,7,34.49
2034,8,32.63
2034,9,27.18
2034,10,25.92
2034,11,27.77
2034,12,20.6
